UserId	image1 initial answer	image2 initial answer	image3 initial answer	image1 final answer	image2 final answer	image3 final answer	image1 neighboring answers	image2 neighboring answers	image3 neighboring answers
AJZBAP861F6X1	50000	14500	16450	25010	15000	15450	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"10500,10000,9500,9000,8500,8000,6500,6500,6500,6500,"	"12450,11950,11450,8450,8450,"
A1IU5OP7BBZHZ7	15500	9500	10500	13500	8500	10500	"11100,9100,7500,11400,9800,11500,7500,11200,7500,11300,8800,8500,9000,7500,1500,10000,9300,7500,9500,7500,"	"5000,3500,4500,1500,4000,1500,1500,5500,1500,3000,"	"5500,6500,2500,6000,2500,"
A79CHO3NW2IPO	10000	10000	10000	30000	8000	10000	"14400,16400,18000,14100,15700,14000,18000,14300,18000,14200,16700,17000,16500,18000,24000,15500,16200,18000,16000,18000,"	"5500,4000,5000,2000,4500,2000,2000,6000,2000,3500,"	"5000,6000,2000,5500,2000,"
A1GL3COCJAZNGO	99998	20000	10000	25000	17000	5000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"6000,5500,5000,2000,2000,"
AW08K5GK7C276	99999	88888	77777	99999	88888	77777	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"16000,15500,15000,14500,14000,13500,12000,12000,12000,12000,"	"16000,15500,15000,12000,12000,"
A1H5Z3L50BDFRJ	100000	2500	5000	100000	2500	5000	"26000,25900,25800,25700,25600,24500,24300,24000,23800,23600,23500,23300,23000,22000,22000,22000,22000,22000,22000,16000,"	"6500,7000,7500,8000,8500,9000,10500,10500,10500,10500,"	"9000,9500,10000,13000,13000,"
A3KUL185XF3MFU	853264	65812	45236	85648	76523	43652	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"15500,14000,15000,12000,14500,12000,12000,16000,12000,13500,"	"15000,16000,12000,15500,12000,"
sujanand.amazon@gmail.com	99750	2860	10460	22000	10860	5860	"25600,23600,22000,25900,24300,26000,22000,25700,22000,25800,23300,23000,23500,22000,16000,24500,23800,22000,24000,22000,"	"7360,8860,7860,10860,8360,10860,10860,6860,10860,9360,"	"5460,6460,2460,5960,2460,"
A2EJEI8Q1HIWC7	2500	5500	9500	7350	6500	7350	"6900,8900,10500,6600,8200,6500,10500,6800,10500,6700,9200,9500,9000,10500,16500,8000,8700,10500,8500,10500,"	"10000,11500,10500,13500,11000,13500,13500,9500,13500,12000,"	"4500,5500,1500,5000,1500,"
A4GBRR3OGPXHV	7800	15300	12400	14600	10200	7	"12200,14200,15800,11900,13500,11800,15800,12100,15800,12000,14500,14800,14300,15800,21800,13300,14000,15800,13800,15800,"	"10800,9300,10300,7300,9800,7300,7300,11300,7300,8800,"	"7400,8400,4400,7900,4400,"
